date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986689624,1.0000000013117458,46303774477
2024-12-25,1.0,0.999999998468388,1.000000001621967,46303774477
2024-12-26,1.0,0.9999999982011034,1.0000000019284572,46303774477
2024-12-27,1.0,0.9999999971653941,1.0000000025403941,46303774477
2024-12-28,1.0,0.9999999958536834,1.000000004242373,46303774477
2024-12-29,1.0,0.9999999940162713,1.0000000054129357,46303774477
2024-12-30,1.0,0.9999999921722704,1.0000000072107775,46303774477
2024-12-31,1.0,0.9999999901499288,1.000000009159124,46303774477
2025-01-01,1.0,0.9999999877047582,1.0000000112296787,46303774477
2025-01-02,1.0,0.9999999850356642,1.0000000138553053,46303774477
2025-01-03,1.0,0.9999999829705047,1.0000000173524548,46303774477
2025-01-04,1.0,0.9999999807673009,1.00000002026633,46303774477
2025-01-05,1.0,0.9999999782225331,1.000000023180023,46303774477
2025-01-06,1.0,0.9999999756787282,1.0000000260681845,46303774477
2025-01-07,1.0,0.9999999725201995,1.000000029113312,46303774477
2025-01-08,1.0,0.9999999702092011,1.0000000323674585,46303774477
2025-01-09,1.0,0.999999967644829,1.0000000358380412,46303774477
2025-01-10,1.0,0.9999999651115719,1.0000000393616066,46303774477
2025-01-11,1.0,0.9999999620892185,1.0000000428912361,46303774477
2025-01-12,1.0,0.9999999584070066,1.0000000455030973,46303774477
2025-01-13,1.0,0.9999999547254179,1.0000000486199159,46303774477
2025-01-14,1.0,0.9999999520590719,1.0000000518128058,46303774477
2025-01-15,1.0,0.9999999486727809,1.0000000561694102,46303774477
2025-01-16,1.0,0.9999999446045679,1.0000000599641439,46303774477
2025-01-17,1.0,0.9999999400539904,1.0000000645635863,46303774477
2025-01-18,1.0,0.9999999369988463,1.0000000691694084,46303774477
2025-01-19,1.0,0.9999999335397524,1.0000000722917513,46303774477
2025-01-20,1.0,0.9999999292900116,1.0000000771750097,46303774477
2025-03-04,1.999994711185436,1.9999947111809224,1.9999947111899867,46303862950
2025-03-05,1.9999947111854357,1.999994711180744,1.999994711190184,46303862950
2025-03-06,1.9999947111854357,1.9999947111800833,1.9999947111907521,46303862950
2025-03-07,1.9999947111854357,1.9999947111799874,1.9999947111911842,46303862950
2025-03-08,1.9999947111854357,1.9999947111793042,1.9999947111915428,46303862950
2025-03-09,1.9999947111854357,1.9999947111763554,1.999994711191711,46303862950
2025-03-10,1.9999947111854357,1.9999947111576868,1.9999947111927325,46303862950
2025-03-11,1.9999947111854355,1.9999947111120608,1.9999947111976266,46303862950
2025-03-12,1.9999947111854355,1.999994711006236,1.9999947112497047,46303862950
2025-03-13,1.9999947111854355,1.999994710885234,1.9999947112936343,46303862950
2025-03-14,1.9999947111854355,1.9999947107615432,1.9999947113431802,46303862950
2025-03-15,1.9999947111854355,1.9999947106143967,1.999994711430796,46303862950
2025-03-16,1.9999947111854353,1.9999947104264815,1.99999471155954,46303862950
2025-03-17,1.9999947111854353,1.9999947103447244,1.999994711709378,46303862950
2025-03-18,1.9999947111854353,1.99999471012782,1.9999947118633967,46303862950
2025-03-19,1.9999947111854353,1.999994709879104,1.9999947119824686,46303862950
2025-03-20,1.9999947111854353,1.999994709704676,1.9999947121304942,46303862950
2025-03-21,1.999994711185435,1.9999947095163142,1.9999947122768906,46303862950
2025-03-22,1.999994711185435,1.99999470931761,1.999994712456586,46303862950
2025-03-23,1.999994711185435,1.9999947091039418,1.9999947125520423,46303862950
2025-03-24,1.999994711185435,1.9999947088986412,1.999994712785495,46303862950
2025-03-25,1.999994711185435,1.9999947085049505,1.9999947130136366,46303862950
2025-03-26,1.9999947111854348,1.9999947083138245,1.9999947131504219,46303862950
2025-03-27,1.9999947111854348,1.9999947081714113,1.9999947133828933,46303862950
2025-03-28,1.9999947111854348,1.9999947079972593,1.999994713716177,46303862950
2025-03-29,1.9999947111854348,1.9999947077422122,1.99999471401552,46303862950
2025-03-30,1.9999947111854348,1.999994707449468,1.9999947141904368,46303862950
2025-03-31,1.9999947111854348,1.9999947071399784,1.9999947145142205,46303862950
2025-03-04,5.434594712287723,1.2786895061693706,9.586668682563042,46303877432
2025-03-05,4.865590756421664,0.6648177252660137,9.105514206111943,46303877432
2025-03-06,4.296586800555591,0.11891488190935655,8.267993923384523,46303877432
2025-03-07,3.7275828446895325,-0.5863332486842446,7.368947244929441,46303877432
2025-03-08,3.158578888823474,-0.8619063998109979,7.206184226478042,46303877432
2025-03-09,2.589574932957415,-1.6663553465746872,6.727969505452627,46303877432
2025-03-10,2.0205709770913565,-2.108528122617092,6.443423876855045,46303877432
2025-03-11,1.4515670212252978,-2.545552394674157,5.918432870878674,46303877432
2025-03-12,0.882563065359232,-3.2085541092722583,4.827634466348996,46303877432
2025-03-13,0.31355910949317334,-3.9306729861154976,4.409478264473543,46303877432
2025-03-14,-0.25544484637288534,-4.4120391472923846,4.136592999249267,46303877432
2025-03-15,-0.824448802238944,-5.075558362251181,3.250311337553777,46303877432
2025-03-16,-1.3934527581050027,-5.303743479426681,2.840012252174768,46303877432
2025-03-17,-1.9624567139710614,-6.205007545140548,2.4116589187933815,46303877432
2025-03-18,-2.5314606698371342,-6.460256005856835,1.79877629748899,46303877432
2025-03-19,-3.100464625703193,-7.302329052934689,1.2265728880558737,46303877432
2025-03-20,-3.6694685815692516,-7.368774825291913,0.7392982136570546,46303877432
2025-03-21,-4.23847253743531,-8.16083518509674,-0.08227309280009461,46303877432
2025-03-22,-4.807476493301369,-8.876332124477699,-0.6350521814166286,46303877432
